province,constituency,amphoe,tambon,unit,form_type,eligible_voters,turnout,ballots_allocated,ballots_used,valid_ballots,spoiled_ballots,abstain_ballots,ballots_remaining,val_total_votes_in_table,val_effective_vote_sum,val_valid_ballots,val_vote_diff,winner_party,winner_votes,election_type,polling_station_id,total_party_votes_at_station,winner_share,rank,runner_up_party,runner_up_votes,runner_up_share,margin_votes,margin_share
อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลค้อทอง,6,party_list,480.0,321.0,480.0,321.0,316.0,75.0,48.0,159.0,298,298,316,-18,กล้าธรรม,101,party_list,อุบลราชธานี|2|อำเภอเขื่องใน|ตำบลค้อทอง|6,298,0.3389261744966443,1.0,ไทรวมพลัง,49,0.1644295302013423,52,0.174496644295302
อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลค้อทอง,7,party_list,277.0,147.0,260.0,147.0,132.0,11.0,4.0,113.0,83,83,132,-49,ประชาธิปไตยใหม่,32,party_list,อุบลราชธานี|2|อำเภอเขื่องใน|ตำบลค้อทอง|7,83,0.3855421686746988,1.0,ประชาชน,17,0.20481927710843373,15,0.1807228915662651
อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลค้อทอง,8,party_list,962.0,222.0,360.0,221.0,210.0,10.0,2.0,138.0,216,216,210,6,กล้าธรรม,42,party_list,อุบลราชธานี|2|อำเภอเขื่องใน|ตำบลค้อทอง|8,215,0.19534883720930232,1.0,ไทรวมพลัง,39,0.1813953488372093,3,0.01395348837209301
อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลค้อทอง,9,party_list,474.0,299.0,480.0,299.0,286.0,4.0,7.0,181.0,339,339,286,53,ภูมิใจไทย,79,party_list,อุบลราชธานี|2|อำเภอเขื่องใน|ตำบลค้อทอง|9,339,0.23303834808259588,1.0,เพื่อไทย,50,0.14749262536873156,29,0.08554572271386432
อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลชีทวน,1,party_list,558.0,,340.0,235.0,211.0,19.0,5.0,105.0,124,124,211,-87,กล้าธรรม,30,party_list,อุบลราชธานี|2|อำเภอเขื่องใน|ตำบลชีทวน|1,124,0.24193548387096775,1.0,เพื่อไทย,27,0.21774193548387097,3,0.02419354838709678
อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลชีทวน,6,party_list,548.0,313.0,540.0,313.0,294.0,18.0,1.0,227.0,193,193,294,-101,กล้าธรรม,68,party_list,อุบลราชธานี|2|อำเภอเขื่องใน|ตำบลชีทวน|6,193,0.35233160621761656,1.0,ประชาชน,41,0.21243523316062177,27,0.1398963730569948
อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลชีทวน,7,party_list,319.0,165.0,300.0,165.0,138.0,22.0,5.0,135.0,118,118,138,-20,ประชาธิปัตย์,20,party_list,อุบลราชธานี|2|อำเภอเขื่องใน|ตำบลชีทวน|7,118,0.1694915254237288,1.0,กล้าธรรม,20,0.1694915254237288,0,0.0
อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลชีทวน,9,party_list,260.0,170.0,260.0,170.0,154.0,11.0,5.0,90.0,184,184,154,30,ภูมิใจไทย,40,party_list,อุบลราชธานี|2|อำเภอเขื่องใน|ตำบลชีทวน|9,184,0.21739130434782608,1.0,ประชาธิปัตย์,31,0.16847826086956522,9,0.048913043478260865
อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลท่าไห,1,party_list,546.0,173.0,520.0,173.0,175.0,16.0,2.0,327.0,194,194,175,19,ไทรวมพลัง,50,party_list,อุบลราชธานี|2|อำเภอเขื่องใน|ตำบลท่าไห|1,194,0.25773195876288657,1.0,กล้าธรรม,37,0.19072164948453607,13,0.0670103092783505
อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลท่าไห,10,party_list,693.0,301.0,680.0,301.0,268.0,32.0,1.0,379.0,218,218,268,-50,เพื่อไทย,90,party_list,อุบลราชธานี|2|อำเภอเขื่องใน|ตำบลท่าไห|10,218,0.41284403669724773,1.0,ประชาชน,46,0.21100917431192662,44,0.2018348623853211
อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลท่าไห,11,party_list,599.0,263.0,580.0,263.0,239.0,21.0,3.0,317.0,239,239,239,0,ไทรวมพลัง,81,party_list,อุบลราชธานี|2|อำเภอเขื่องใน|ตำบลท่าไห|11,239,0.3389121338912134,1.0,ประชาธิปัตย์,24,0.100418410041841,57,0.2384937238493724
อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลท่าไห,3,party_list,,,,,,,,,385,385,0,385,พลังไทยรักชาติ,205,party_list,อุบลราชธานี|2|อำเภอเขื่องใน|ตำบลท่าไห|3,385,0.5324675324675324,1.0,ไทรวมพลัง,68,0.17662337662337663,137,0.3558441558441558
อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลท่าไห,4,party_list,593.0,,580.0,230.0,279.0,11.0,12.0,350.0,406,406,279,127,พลังไทยรักชาติ,209,party_list,อุบลราชธานี|2|อำเภอเขื่องใน|ตำบลท่าไห|4,406,0.5147783251231527,1.0,ไทรวมพลัง,36,0.08866995073891626,173,0.42610837438423643
อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลท่าไห,5,party_list,569.0,,560.0,321.0,287.0,30.0,,239.0,287,287,287,0,ไทรวมพลัง,99,party_list,อุบลราชธานี|2|อำเภอเขื่องใน|ตำบลท่าไห|5,287,0.34494773519163763,1.0,เพื่อไทย,40,0.13937282229965156,59,0.20557491289198607
อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลท่าไห,6,party_list,694.0,292.0,600.0,292.0,270.0,10.0,2.0,308.0,179,179,270,-91,เพื่อไทย,69,party_list,อุบลราชธานี|2|อำเภอเขื่องใน|ตำบลท่าไห|6,179,0.3854748603351955,1.0,ไทรวมพลัง,69,0.3854748603351955,0,0.0
อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลท่าไห,9,party_list,430.0,,420.0,209.0,199.0,10.0,0.0,217.0,199,199,199,0,ไทรวมพลัง,50,party_list,อุบลราชธานี|2|อำเภอเขื่องใน|ตำบลท่าไห|9,199,0.25125628140703515,1.0,ประชาชน,34,0.1708542713567839,16,0.08040201005025124
อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลธาตุน้อย,10,party_list,684.0,404.0,680.0,404.0,375.0,29.0,15.0,276.0,376,376,375,1,ไทรวมพลัง,135,party_list,อุบลราชธานี|2|อำเภอเขื่องใน|ตำบลธาตุน้อย|10,376,0.35904255319148937,1.0,ประชาชน,66,0.17553191489361702,69,0.18351063829787234
อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลธาตุน้อย,3,party_list,750.0,459.0,740.0,459.0,413.0,39.0,7.0,281.0,609,609,413,196,พลังไทยรักชาติ,406,party_list,อุบลราชธานี|2|อำเภอเขื่องใน|ตำบลธาตุน้อย|3,609,0.6666666666666666,1.0,เพื่อไทย,59,0.09688013136288999,347,0.5697865353037767
