province,constituency,amphoe,tambon,party,const_votes,party_list_votes,const_total,party_list_total,const_share,party_list_share,share_gap,abs_share_gap
อุบลราชธานี,2,ตำบลปะอาว,ตำบลปะอาว,พลังธรรมใหม่,0.0,7,2247.0,1349,0.0,0.005189028910303929,-0.005189028910303929,0.005189028910303929
อุบลราชธานี,2,ตำบลปะอาว,ตำบลปะอาว,พลังประชารัฐ,6.0,4,2247.0,1349,0.0026702269692923898,0.0029651593773165306,-0.00029493240802414087,0.00029493240802414087
อุบลราชธานี,2,ตำบลปะอาว,ตำบลปะอาว,พลังสังคมใหม่,0.0,1,2247.0,1349,0.0,0.0007412898443291327,-0.0007412898443291327,0.0007412898443291327
อุบลราชธานี,2,ตำบลปะอาว,ตำบลปะอาว,พลังเพื่อไทย,0.0,5,2247.0,1349,0.0,0.0037064492216456633,-0.0037064492216456633,0.0037064492216456633
อุบลราชธานี,2,ตำบลปะอาว,ตำบลปะอาว,พลังไทยรักชาติ,0.0,0,2247.0,1349,0.0,0.0,0.0,0.0
อุบลราชธานี,2,ตำบลปะอาว,ตำบลปะอาว,ฟิวชัน,0.0,57,2247.0,1349,0.0,0.04225352112676056,-0.04225352112676056,0.04225352112676056
อุบลราชธานี,2,ตำบลปะอาว,ตำบลปะอาว,ภูมิใจไทย,95.0,93,2247.0,1349,0.04227859368046284,0.06893995552260934,-0.0266613618421465,0.0266613618421465
อุบลราชธานี,2,ตำบลปะอาว,ตำบลปะอาว,มิติใหม่,0.0,4,2247.0,1349,0.0,0.0029651593773165306,-0.0029651593773165306,0.0029651593773165306
อุบลราชธานี,2,ตำบลปะอาว,ตำบลปะอาว,รวมพลังประชาชน,0.0,8,2247.0,1349,0.0,0.005930318754633061,-0.005930318754633061,0.005930318754633061
อุบลราชธานี,2,ตำบลปะอาว,ตำบลปะอาว,รวมใจไทย,0.0,38,2247.0,1349,0.0,0.028169014084507043,-0.028169014084507043,0.028169014084507043
อุบลราชธานี,2,ตำบลปะอาว,ตำบลปะอาว,รวมไทยสร้างชาติ,0.0,16,2247.0,1349,0.0,0.011860637509266123,-0.011860637509266123,0.011860637509266123
อุบลราชธานี,2,ตำบลปะอาว,ตำบลปะอาว,รักชาติ,0.0,71,2247.0,1349,0.0,0.05263157894736842,-0.05263157894736842,0.05263157894736842
อุบลราชธานี,2,ตำบลปะอาว,ตำบลปะอาว,วิชชั่นใหม่,0.0,5,2247.0,1349,0.0,0.0037064492216456633,-0.0037064492216456633,0.0037064492216456633
อุบลราชธานี,2,ตำบลปะอาว,ตำบลปะอาว,สร้างอนาคตไทย,0.0,1,2247.0,1349,0.0,0.0007412898443291327,-0.0007412898443291327,0.0007412898443291327
อุบลราชธานี,2,ตำบลปะอาว,ตำบลปะอาว,สังคมประชาธิปไตยไทย,0.0,2,2247.0,1349,0.0,0.0014825796886582653,-0.0014825796886582653,0.0014825796886582653
อุบลราชธานี,2,ตำบลปะอาว,ตำบลปะอาว,อนาคตไทย,0.0,1,2247.0,1349,0.0,0.0007412898443291327,-0.0007412898443291327,0.0007412898443291327
อุบลราชธานี,2,ตำบลปะอาว,ตำบลปะอาว,เครือข่ายชาวนาแห่งประเทศไทย,0.0,0,2247.0,1349,0.0,0.0,0.0,0.0
อุบลราชธานี,2,ตำบลปะอาว,ตำบลปะอาว,เป็นธรรม,0.0,0,2247.0,1349,0.0,0.0,0.0,0.0
อุบลราชธานี,2,ตำบลปะอาว,ตำบลปะอาว,เพื่อชาติไทย,0.0,8,2247.0,1349,0.0,0.005930318754633061,-0.005930318754633061,0.005930318754633061
อุบลราชธานี,2,ตำบลปะอาว,ตำบลปะอาว,เพื่อชีวิตใหม่,0.0,0,2247.0,1349,0.0,0.0,0.0,0.0
อุบลราชธานี,2,ตำบลปะอาว,ตำบลปะอาว,เพื่อบ้านเมือง,0.0,0,2247.0,1349,0.0,0.0,0.0,0.0
อุบลราชธานี,2,ตำบลปะอาว,ตำบลปะอาว,เพื่อไทย,302.0,294,2247.0,1349,0.1344014241210503,0.21793921423276502,-0.08353779011171472,0.08353779011171472
อุบลราชธานี,2,ตำบลปะอาว,ตำบลปะอาว,เศรษฐกิจ,43.0,38,2247.0,1349,0.01913662661326213,0.028169014084507043,-0.009032387471244914,0.009032387471244914
อุบลราชธานี,2,ตำบลปะอาว,ตำบลปะอาว,เสรีรวมไทย,0.0,7,2247.0,1349,0.0,0.005189028910303929,-0.005189028910303929,0.005189028910303929
อุบลราชธานี,2,ตำบลปะอาว,ตำบลปะอาว,แผ่นดินธรรม,0.0,2,2247.0,1349,0.0,0.0014825796886582653,-0.0014825796886582653,0.0014825796886582653
อุบลราชธานี,2,ตำบลปะอาว,ตำบลปะอาว,แรงงานสร้างชาติ,0.0,2,2247.0,1349,0.0,0.0014825796886582653,-0.0014825796886582653,0.0014825796886582653
อุบลราชธานี,2,ตำบลปะอาว,ตำบลปะอาว,โอกาสใหม่,0.0,3,2247.0,1349,0.0,0.002223869532987398,-0.002223869532987398,0.002223869532987398
อุบลราชธานี,2,ตำบลปะอาว,ตำบลปะอาว,ใหม่,0.0,7,2247.0,1349,0.0,0.005189028910303929,-0.005189028910303929,0.005189028910303929
อุบลราชธานี,2,ตำบลปะอาว,ตำบลปะอาว,ไทยก้าวหน้า,0.0,1,2247.0,1349,0.0,0.0007412898443291327,-0.0007412898443291327,0.0007412898443291327
อุบลราชธานี,2,ตำบลปะอาว,ตำบลปะอาว,ไทยก้าวใหม่,8.0,2,2247.0,1349,0.0035603026257231864,0.0014825796886582653,0.002077722937064921,0.002077722937064921
อุบลราชธานี,2,ตำบลปะอาว,ตำบลปะอาว,ไทยชนะ,0.0,1,2247.0,1349,0.0,0.0007412898443291327,-0.0007412898443291327,0.0007412898443291327
อุบลราชธานี,2,ตำบลปะอาว,ตำบลปะอาว,ไทยทรัพย์ทวี,0.0,28,2247.0,1349,0.0,0.020756115641215715,-0.020756115641215715,0.020756115641215715
อุบลราชธานี,2,ตำบลปะอาว,ตำบลปะอาว,ไทยธรรม,0.0,1,2247.0,1349,0.0,0.0007412898443291327,-0.0007412898443291327,0.0007412898443291327
อุบลราชธานี,2,ตำบลปะอาว,ตำบลปะอาว,ไทยพร้อม,0.0,0,2247.0,1349,0.0,0.0,0.0,0.0
อุบลราชธานี,2,ตำบลปะอาว,ตำบลปะอาว,ไทยพิทักษ์ธรรม,0.0,0,2247.0,1349,0.0,0.0,0.0,0.0
อุบลราชธานี,2,ตำบลปะอาว,ตำบลปะอาว,ไทยภักดี,0.0,4,2247.0,1349,0.0,0.0029651593773165306,-0.0029651593773165306,0.0029651593773165306
อุบลราชธานี,2,ตำบลปะอาว,ตำบลปะอาว,ไทยรวมไทย,0.0,1,2247.0,1349,0.0,0.0007412898443291327,-0.0007412898443291327,0.0007412898443291327
อุบลราชธานี,2,ตำบลปะอาว,ตำบลปะอาว,ไทยสร้างไทย,0.0,4,2247.0,1349,0.0,0.0029651593773165306,-0.0029651593773165306,0.0029651593773165306
อุบลราชธานี,2,ตำบลปะอาว,ตำบลปะอาว,ไทรวมพลัง,688.0,249,2247.0,1349,0.30618602581219406,0.18458117123795403,0.12160485457424003,0.12160485457424003
อุบลราชธานี,2,ตำบลหัวเรือ,ตำบลหัวเรือ,กรีน,0.0,2,4588.0,3991,0.0,0.0005011275369581559,-0.0005011275369581559,0.0005011275369581559
อุบลราชธานี,2,ตำบลหัวเรือ,ตำบลหัวเรือ,กล้าธรรม,1318.0,137,4588.0,3991,0.2872711421098518,0.03432723628163368,0.2529439058282181,0.2529439058282181
อุบลราชธานี,2,ตำบลหัวเรือ,ตำบลหัวเรือ,ก้าวอิสระ,0.0,1,4588.0,3991,0.0,0.00025056376847907793,-0.00025056376847907793,0.00025056376847907793
อุบลราชธานี,2,ตำบลหัวเรือ,ตำบลหัวเรือ,ครูไทยเพื่อประชาชน,0.0,4,4588.0,3991,0.0,0.0010022550739163117,-0.0010022550739163117,0.0010022550739163117
อุบลราชธานี,2,ตำบลหัวเรือ,ตำบลหัวเรือ,คลองไทย,0.0,15,4588.0,3991,0.0,0.0037584565271861687,-0.0037584565271861687,0.0037584565271861687
อุบลราชธานี,2,ตำบลหัวเรือ,ตำบลหัวเรือ,ความหวังใหม่,0.0,3,4588.0,3991,0.0,0.0007516913054372337,-0.0007516913054372337,0.0007516913054372337
อุบลราชธานี,2,ตำบลหัวเรือ,ตำบลหัวเรือ,ทางเลือกใหม่,0.0,20,4588.0,3991,0.0,0.005011275369581559,-0.005011275369581559,0.005011275369581559
อุบลราชธานี,2,ตำบลหัวเรือ,ตำบลหัวเรือ,ท้องที่ไทย,0.0,4,4588.0,3991,0.0,0.0010022550739163117,-0.0010022550739163117,0.0010022550739163117
อุบลราชธานี,2,ตำบลหัวเรือ,ตำบลหัวเรือ,ประชากรไทย,0.0,6,4588.0,3991,0.0,0.0015033826108744675,-0.0015033826108744675,0.0015033826108744675
