chars,error,file,pages,status,total_seconds
8709,,rawData\อำเภอเขื่องใน\ตำบลบ้านกอก\หน่วยเลือกตั้งที่ 5\5ทับ18.pdf,,SKIP,0.0
13465,,rawData\อำเภอเขื่องใน\ตำบลบ้านกอก\หน่วยเลือกตั้งที่ 6\5ทับ18(บช).pdf,,SKIP,0.0
8287,,rawData\อำเภอเขื่องใน\ตำบลบ้านกอก\หน่วยเลือกตั้งที่ 6\5ทับ18.pdf,,SKIP,0.0
14969,,rawData\อำเภอเขื่องใน\ตำบลบ้านไทย\หน่วยเลือกตั้งที่ 1\5ทับ18(บช).pdf,,SKIP,0.0
8936,,rawData\อำเภอเขื่องใน\ตำบลบ้านไทย\หน่วยเลือกตั้งที่ 1\5ทับ18.pdf,,SKIP,0.0
12829,,rawData\อำเภอเขื่องใน\ตำบลบ้านไทย\หน่วยเลือกตั้งที่ 10\5ทับ18(บช).pdf,,SKIP,0.0
8468,,rawData\อำเภอเขื่องใน\ตำบลบ้านไทย\หน่วยเลือกตั้งที่ 10\5ทับ18.pdf,,SKIP,0.0
14171,,rawData\อำเภอเขื่องใน\ตำบลบ้านไทย\หน่วยเลือกตั้งที่ 11\5ทับ18(บช).pdf,,SKIP,0.0
8637,,rawData\อำเภอเขื่องใน\ตำบลบ้านไทย\หน่วยเลือกตั้งที่ 11\5ทับ18.pdf,,SKIP,0.0
13428,,rawData\อำเภอเขื่องใน\ตำบลบ้านไทย\หน่วยเลือกตั้งที่ 12\5ทับ18(บช).pdf,,SKIP,0.0
8286,,rawData\อำเภอเขื่องใน\ตำบลบ้านไทย\หน่วยเลือกตั้งที่ 12\5ทับ18.pdf,,SKIP,0.0
8915,,rawData\อำเภอเขื่องใน\ตำบลบ้านไทย\หน่วยเลือกตั้งที่ 2\5 ทับ18.pdf,,SKIP,0.0
18959,,rawData\อำเภอเขื่องใน\ตำบลบ้านไทย\หน่วยเลือกตั้งที่ 2\5ทับ18(บช).pdf,,SKIP,0.0
13629,,rawData\อำเภอเขื่องใน\ตำบลบ้านไทย\หน่วยเลือกตั้งที่ 3\5ทับ18(บช).pdf,,SKIP,0.0
8971,,rawData\อำเภอเขื่องใน\ตำบลบ้านไทย\หน่วยเลือกตั้งที่ 3\5ทับ18.pdf,,SKIP,0.0
13045,,rawData\อำเภอเขื่องใน\ตำบลบ้านไทย\หน่วยเลือกตั้งที่ 4\5ทับ18(บช).pdf,,SKIP,0.0
27009,,rawData\อำเภอเขื่องใน\ตำบลบ้านไทย\หน่วยเลือกตั้งที่ 4\5ทับ18.pdf,,SKIP,0.0
14010,,rawData\อำเภอเขื่องใน\ตำบลบ้านไทย\หน่วยเลือกตั้งที่ 5\5ทับ18(บช).pdf,,SKIP,0.0
8410,,rawData\อำเภอเขื่องใน\ตำบลบ้านไทย\หน่วยเลือกตั้งที่ 5\5ทับ18.pdf,,SKIP,0.0
13372,,rawData\อำเภอเขื่องใน\ตำบลบ้านไทย\หน่วยเลือกตั้งที่ 6\5ทับ18(บช).pdf,,SKIP,0.0
8479,,rawData\อำเภอเขื่องใน\ตำบลบ้านไทย\หน่วยเลือกตั้งที่ 6\5ทับ18.pdf,,SKIP,0.0
21010,,rawData\อำเภอเขื่องใน\ตำบลบ้านไทย\หน่วยเลือกตั้งที่ 7\5ทับ18(บช).pdf,,SKIP,0.0
