province,constituency,amphoe,tambon,unit,form_type,eligible_voters,turnout,ballots_allocated,ballots_used,valid_ballots,spoiled_ballots,abstain_ballots,ballots_remaining,val_total_votes_in_table,val_effective_vote_sum,val_valid_ballots,val_vote_diff,กล้าธรรม_votes,กล้าธรรม_votes_th,ภูมิใจไทย_votes,ภูมิใจไทย_votes_th,เพื่อไทย_votes,เพื่อไทย_votes_th,ประชาชน_votes,ประชาชน_votes_th,ไทรวมพลัง_votes,ไทรวมพลัง_votes_th,ประชาธิปไตยใหม่_votes,ประชาธิปไตยใหม่_votes_th,พลังประชารัฐ_votes,พลังประชารัฐ_votes_th,ประชาธิปัตย์_votes,ประชาธิปัตย์_votes_th,เศรษฐกิจ_votes,เศรษฐกิจ_votes_th,ไทยก้าวใหม่_votes,ไทยก้าวใหม่_votes_th
อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลค้อทอง,7,constituency,277,147,260,147,137,8,2,113,137,137,137,0,52,52,1,1,6,6,4,4,74,74,0,0,0,0,0,0,0,0,0,0
อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลค้อทอง,8,constituency,362,222,360,222,214,6,2,138,214,214,214,0,108,0,4,4,3,3,7,7,91,0,0,0,0,0,0,0,1,1,0,0
อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลชีทวน,1,constituency,358,205,340,235,229,2,4,105,229,229,229,0,87,87,2,2,1,1,8,8,131,0,0,0,0,0,0,0,0,0,0,0
อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลชีทวน,10,constituency,367,367,620,367,345,16,6,257,345,345,345,0,243,243,1,1,3,3,20,20,72,72,0,0,1,1,3,3,2,2,0,0
อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลชีทวน,11,constituency,652,366,640,366,359,3,4,274,359,359,359,0,239,239,2,2,1,1,7,7,107,0,0,0,1,1,0,0,2,2,0,0
อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลชีทวน,2,constituency,444,,440,275,265,7,3,165,265,265,265,0,125,0,1,0,2,2,19,9,114,0,0,0,0,0,0,0,4,4,0,0
อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลชีทวน,3,constituency,890,542,880,542,527,10,6,338,527,527,527,0,189,0,9,9,8,8,42,42,268,268,1,1,1,1,3,3,6,6,0,0
อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลชีทวน,4,constituency,629,421,620,421,402,7,199,218,402,402,402,0,188,0,9,9,7,7,15,15,180,0,0,0,0,0,0,0,3,3,0,0
อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลชีทวน,6,constituency,548,313,540,313,381,8,4,227,301,301,381,-80,168,0,4,4,8,8,15,15,101,0,2,2,0,0,1,1,1,1,1,1
อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลชีทวน,7,constituency,319,165,300,165,156,4,3,135,156,156,156,0,106,0,2,2,1,1,6,6,39,309,0,0,1,1,0,0,1,1,0,0
