province,province_number,district,subdistrict,station_number,บช_ก้าวไกล,บช_ชาติพัฒนากล้า,บช_ชาติไทยพัฒนา,บช_บัตรเสีย,บช_ประชาชาติ,บช_ประชาธิปัตย์,บช_ผู้มาใช้สิทธิ์,บช_ผู้มีสิทธิ์,บช_พลังประชารัฐ,บช_ภูมิใจไทย,บช_รวมไทยสร้างชาติ,บช_เพื่อไทย,บช_เสรีรวมไทย,บช_ไทยสร้างไทย,บช_ไม่เลือกผู้ใด
อุบลราชธานี,2,เขื่องใน,สร้างถ่อ,16.0,78,1,0,15,1,49,262,380,3,3,28,53,1,0,4
อุบลราชธานี,2,เขื่องใน,สร้างถ่อ,17.0,78,0,0,11,0,32,308,537,5,4,10,128,4,2,1
อุบลราชธานี,2,เขื่องใน,สร้างถ่อ,2.0,108,0,1,39,2,70,449,672,10,2,43,114,2,4,4
อุบลราชธานี,2,เขื่องใน,สร้างถ่อ,3.0,91,1,1,27,0,83,420,616,5,2,23,122,3,0,0
อุบลราชธานี,2,เขื่องใน,สร้างถ่อ,4.0,47,0,0,7,0,40,242,354,5,4,22,76,3,0,7
อุบลราชธานี,2,เขื่องใน,สร้างถ่อ,5.0,57,0,0,19,0,43,261,403,0,1,16,80,4,1,0
อุบลราชธานี,2,เขื่องใน,สร้างถ่อ,6.0,64,1,0,19,0,62,347,546,2,2,12,152,2,0,0
อุบลราชธานี,2,เขื่องใน,สร้างถ่อ,7.0,46,0,0,7,2,17,84,347,0,2,7,91,2,0,1
อุบลราชธานี,2,เขื่องใน,สร้างถ่อ,8.0,42,0,0,8,0,15,158,257,2,1,3,72,0,0,2
อุบลราชธานี,2,เขื่องใน,สร้างถ่อ,9.0,68,0,0,4,0,48,244,407,2,0,20,72,1,0,0
อุบลราชธานี,2,เขื่องใน,สหธาตุ,1.0,59,0,0,3,0,16,197,315,1,1,7,87,2,2,0
อุบลราชธานี,2,เขื่องใน,สหธาตุ,2.0,46,0,0,11,0,38,234,389,0,4,3,93,5,1,2
อุบลราชธานี,2,เขื่องใน,สหธาตุ,3.0,70,0,1,9,1,17,302,4229,1,4,4,159,1,0,2
อุบลราชธานี,2,เขื่องใน,สหธาตุ,4.0,69,0,0,19,0,13,331,450,1,4,19,153,2,4,1
อุบลราชธานี,2,เขื่องใน,สหธาตุ,5.0,74,0,1,13,0,29,295,403,1,5,2,127,2,1,1
อุบลราชธานี,2,เขื่องใน,สหธาตุ,6.0,35,0,0,5,0,26,184,292,1,2,3,95,0,0,0
อุบลราชธานี,2,เขื่องใน,สหธาตุ,7.0,14,0,0,5,2,10,124,198,1,0,3,79,0,0,0
อุบลราชธานี,2,เขื่องใน,หนองเหล่า,1.0,72,0,0,77,0,114,345,479,2,5,28,45,0,2,4
อุบลราชธานี,2,เขื่องใน,หนองเหล่า,10.0,74,1,1,16,2,80,288,446,1,1,26,48,1,1,4
อุบลราชธานี,2,เขื่องใน,หนองเหล่า,11.0,111,0,1,11,2,49,323,463,4,1,16,65,0,2,3
อุบลราชธานี,2,เขื่องใน,หนองเหล่า,2.0,107,0,0,17,1,88,450,608,1,3,41,142,2,0,0
อุบลราชธานี,2,เขื่องใน,หนองเหล่า,3.0,83,0,0,17,0,55,392,553,4,2,49,133,4,1,3
อุบลราชธานี,2,เขื่องใน,หนองเหล่า,4.0,71,0,1,12,2,51,295,457,3,5,9,91,3,2,2
อุบลราชธานี,2,เขื่องใน,หนองเหล่า,5.0,57,0,1,12,1,53,243,375,0,1,27,61,2,0,5
อุบลราชธานี,2,เขื่องใน,หนองเหล่า,6.0,52,0,0,13,0,34,268,420,2,3,12,108,2,0,2
อุบลราชธานี,2,เขื่องใน,หนองเหล่า,7.0,56,1,0,10,1,29,207,278,3,3,30,33,1,0,8
อุบลราชธานี,2,เขื่องใน,หนองเหล่า,8.0,43,1,0,2,3,57,237,299,1,4,25,71,2,0,1
อุบลราชธานี,2,เขื่องใน,หนองเหล่า,9.0,51,0,1,12,1,25,296,452,0,4,21,126,1,0,2
อุบลราชธานี,2,เขื่องใน,หัวดอน,1.0,65,1,0,6,0,35,268,370,3,3,10,111,7,0,3
อุบลราชธานี,2,เขื่องใน,หัวดอน,10.0,117,0,0,26,1,51,390,577,1,1,19,127,5,2,7
อุบลราชธานี,2,เขื่องใน,หัวดอน,11.0,74,0,1,15,2,96,331,479,1,0,25,82,3,1,1
อุบลราชธานี,2,เขื่องใน,หัวดอน,2.0,52,0,0,12,1,63,226,324,0,2,13,56,2,4,5
อุบลราชธานี,2,เขื่องใน,หัวดอน,3.0,39,0,0,15,1,119,273,427,4,0,9,63,3,0,1
อุบลราชธานี,2,เขื่องใน,หัวดอน,4.0,163,0,1,16,0,68,460,653,4,4,48,108,7,1,9
อุบลราชธานี,2,เขื่องใน,หัวดอน,5.0,125,0,0,17,0,87,414,566,2,2,30,123,3,1,2
