province,province_number,district,subdistrict,station_number,เขต_กรีน,เขต_ก้าวไกล,เขต_ครูไทยเพื่อประชาช,เขต_คลองไทย,เขต_ความหวังใหม่,เขต_ชาติพัฒนากล้า,เขต_ชาติรุ่งเรือง,เขต_ชาติไทยพัฒนา,เขต_ช่วยชาติ,เขต_ถิ่นกาขาวชาววิไล,เขต_ทางเลือกใหม่,เขต_ท้องที่ไทย,เขต_บัตรเสีย,เขต_ประชากรไทย,เขต_ประชาชาติ,เขต_ประชาธิปัตย์,เขต_ประชาธิปไตยใหม่,เขต_ประชาภิวัฒน์,เขต_ประชาสามัคคี,เขต_ประชาไทย,เขต_ผู้มาใช้สิทธิ์,เขต_ผู้มีสิทธิ์,เขต_พลัง,เขต_พลังธรรมใหม่,เขต_พลังบูรพา,เขต_พลังประชาธิปไตย,เขต_พลังประชารัฐ,เขต_พลังปวงชนไทย,เขต_พลังสยาม,เขต_พลังสหกรณ์,เขต_พลังสังคม,เขต_พลังสังคมใหม่,เขต_พลังเพื่อไทย,เขต_พลังไทยรักชาติ,เขต_ภราดรภาพ,เขต_ภาคีเครือข่ายไทย,เขต_ภูมิใจไทย,เขต_มิติใหม่,เขต_รวมพลัง,เขต_รวมแผ่นดิน,เขต_รวมใจไทย,เขต_รวมไทยสร้างชาติ,เขต_รักษ์ธรรม,เขต_รักษ์ผืนป่าประเทศ,เขต_ราษฎร์วิถี,เขต_สังคมประชาธิปไตยไ,เขต_สามัญชน,เขต_อนาคตไทย,เขต_เปลี่ยน,เขต_เปลี่ยนอนาคต,เขต_เป็นธรรม,เขต_เพื่อชาติ,เขต_เพื่อชาติไทย,เขต_เพื่ออนาคตไทย,เขต_เพื่อไทย,เขต_เพื่อไทรวมพลัง,เขต_เสมอภาค,เขต_เสรีรวมไทย,เขต_เส้นด้าย,เขต_แนวทางใหม่,เขต_แผ่นดินธรรม,เขต_แรงงานสร้างชาติ,เขต_ใหม่,เขต_ไทยก้าวหน้า,เขต_ไทยชนะ,เขต_ไทยธรรม,เขต_ไทยพร้อม,เขต_ไทยภักดี,เขต_ไทยรวมไทย,เขต_ไทยศรีวิไลย์,เขต_ไทยสมาร์ท,เขต_ไทยสร้างไทย,เขต_ไทยเป็นหนึ่ง,เขต_ไม่เลือกผู้ใด
อุบลราชธานี,2,เขื่องใน,ชีทวน,10.0,,24.0,,0.0,,,,,,,,,28,,,238,,,,,368,605,,,,,6,4.0,,,,,,,,,1.0,,,,,0,,,,,,,,,,,,,61,,,0,,,,,,,,,,2.0,,0.0,,,,4
อุบลราชธานี,2,เขื่องใน,ชีทวน,11.0,,11.0,,0.0,,,,,,,,,10,,,287,,,,,372,645,,,,,4,1.0,,,,,,,,,2.0,,,,,0,,,,,,,,,,,,,52,,,0,,,,,,,,,,2.0,,0.0,,,,3
อุบลราชธานี,2,เขื่องใน,ชีทวน,2.0,,19.0,,0.0,,,,,,,,,20,,,165,,,,,259,452,,,,,2,0.0,,,,,,,,,0.0,,,,,0,,,,,,,,,,,,,47,,,1,,,,,,,,,,1.0,,1.0,,,,3
อุบลราชธานี,2,เขื่องใน,ชีทวน,3.0,,53.0,,4.0,,,,,,,,,24,,,291,,,,,527,877,,,,,11,1.0,,,,,,,,,5.0,,,,,0,,,,,,,,,,,,,121,,,1,,,,,,,,,,3.0,,2.0,,,,11
อุบลราชธานี,2,เขื่องใน,ชีทวน,4.0,,43.0,,1.0,,,,,,,,,30,,,210,,,,,410,615,,,,,1,1.0,,,,,,,,,1.0,,,,,0,,,,,,,,,,,,,108,,,3,,,,,,,,,,5.0,,2.0,,,,5
อุบลราชธานี,2,เขื่องใน,ชีทวน,5.0,,19.0,,0.0,,,,,,,,,11,,,154,,,,,236,325,,,,,1,0.0,,,,,,,,,1.0,,,,,0,,,,,,,,,,,,,34,,,1,,,,,,,,,,2.0,,1.0,,,,12
อุบลราชธานี,2,เขื่องใน,ชีทวน,6.0,,28.0,,2.0,,,,,,,,,23,,,178,,,,,315,519,,,,,0,0.0,,,,,,,,,3.0,,,,,0,,,,,,,,,,,,,79,,,0,,,,,,,,,,1.0,,0.0,,,,1
อุบลราชธานี,2,เขื่องใน,ชีทวน,7.0,,10.0,,0.0,,,,,,,,,16,,,90,,,,,166,311,,,,,4,0.0,,,,,,,,,2.0,,,,,0,,,,,,,,,,,,,41,,,0,,,,,,,,,,0.0,,0.0,,,,3
อุบลราชธานี,2,เขื่องใน,ชีทวน,8.0,,23.0,,0.0,,,,,,,,,4,,,89,,,,,214,339,,,,,6,1.0,,,,,,,,,2.0,,,,,0,,,,,,,,,,,,,86,,,0,,,,,,,,,,0.0,,0.0,,,,3
อุบลราชธานี,2,เขื่องใน,ชีทวน,9.0,,16.0,,0.0,,,,,,,,,4,,,95,,,,,150,251,,,,,0,0.0,,,,,,,,,1.0,,,,,0,,,,,,,,,,,,,27,,,1,,,,,,,,,,1.0,,1.0,,,,4
อุบลราชธานี,2,เขื่องใน,ท่าไห,1.0,,20.0,,0.0,,,,,,,,,14,,,114,,,,,219,537,,,,,2,1.0,,,,,,,,,0.0,,,,,0,,,,,,,,,,,,,63,,,2,,,,,,,,,,1.0,,2.0,,,,0
